지역,박물관: (24. 1. 3.~25. 1. 3.)
서울,100
제주,98
경기,65
인천,63
대전,60
부산,58
강원,55
충남,54
울산,53
전북,50
충북,47
광주,47
대구,46
전남,44
경북,40
경남,39
